adduser 3.118ubuntu5
alsa-topology-conf 1.2.5.1-2
alsa-ucm-conf 1.2.6.3-1ubuntu1.12
amd64-microcode 3.20191218.1ubuntu2.3
apparmor 3.0.4-2ubuntu2.4
apport 2.20.11-0ubuntu82.10
apport-symptoms 0.24
apt 2.4.13
apt-offline 1.8.4-1
apt-rdepends 1.3.0-9
apt-utils 2.4.13
base-files 12ubuntu4.7
base-passwd 3.5.52build1
bash 5.1-6ubuntu1.1
bash-completion 1:2.11-5ubuntu1
bc 1.07.1-3build1
bcache-tools 1.0.8-4ubuntu3
bind9-dnsutils 1:9.18.39-0ubuntu0.22.04.3
bind9-host 1:9.18.39-0ubuntu0.22.04.3
bind9-libs 1:9.18.39-0ubuntu0.22.04.3
binutils 2.38-4ubuntu2.12
binutils-common 2.38-4ubuntu2.12
binutils-x86-64-linux-gnu 2.38-4ubuntu2.12
bolt 0.9.2-1
bsdextrautils 2.37.2-4ubuntu3.5
bsdutils 1:2.37.2-4ubuntu3.5
btrfs-progs 5.16.2-1
busybox-initramfs 1:1.30.1-7ubuntu3.1
busybox-static 1:1.30.1-7ubuntu3.1
byobu 5.133-1
ca-certificates 20240203~22.04.1
ca-certificates-java 20190909ubuntu1.2
cloud-guest-utils 0.32-22-g45fe84a5-0ubuntu1
cloud-init 25.1.4-0ubuntu0~22.04.1
cloud-initramfs-copymods 0.47ubuntu1
cloud-initramfs-dyn-netconf 0.47ubuntu1
command-not-found 22.04.0
console-setup 1.205ubuntu3
console-setup-linux 1.205ubuntu3
coreutils 8.32-4.1ubuntu1.2
cpio 2.13+dfsg-7ubuntu0.1
cron 3.0pl1-137ubuntu3
cryptsetup 2:2.4.3-1ubuntu1.2
cryptsetup-bin 2:2.4.3-1ubuntu1.2
cryptsetup-initramfs 2:2.4.3-1ubuntu1.2
curl 7.81.0-1ubuntu1.23
dash 0.5.11+git20210903+057cd650a4ed-3build1
dbus 1.12.20-2ubuntu4.1
dbus-user-session 1.12.20-2ubuntu4.1
debconf 1.5.79ubuntu1
debconf-i18n 1.5.79ubuntu1
debian-archive-keyring 2021.1.1ubuntu2
debianutils 5.5-1ubuntu2
diffutils 1:3.8-0ubuntu2
dirmngr 2.2.27-3ubuntu2.5
distro-info 1.1ubuntu0.2
distro-info-data 0.52ubuntu0.7
dmeventd 2:1.02.175-2.1ubuntu4
dmidecode 3.3-3ubuntu0.1
dmsetup 2:1.02.175-2.1ubuntu4
dosfstools 4.2-1build3
dpkg 1.21.1ubuntu2.6
e2fsprogs 1.46.5-2ubuntu1.2
eatmydata 130-2build1
ed 1.18-1
efibootmgr 17-1ubuntu2
eject 2.37.2-4ubuntu3.5
ethtool 1:5.16-1ubuntu0.1
fdisk 2.37.2-4ubuntu3.5
file 1:5.41-3ubuntu0.1
finalrd 9build1
findutils 4.8.0-1ubuntu3
firmware-sof-signed 2.0-1ubuntu4.7
fontconfig-config 2.13.1-4.2ubuntu5
fonts-dejavu-core 2.37-2build1
fonts-ubuntu-console 0.83-6ubuntu1
friendly-recovery 0.2.42
ftp 20210827-4build1
fuse3 3.10.5-1build1
fwupd 1.7.9-1~22.04.3
fwupd-signed 1.51.1~22.04.1+1.4-0ubuntu0.1
gawk 1:5.1.0-1ubuntu0.1
gcc-12-base 12.3.0-1ubuntu1~22.04.3
gdisk 1.0.8-4build1
gettext-base 0.21-4ubuntu4
gir1.2-glib-2.0 1.72.0-1
gir1.2-packagekitglib-1.0 1.2.5-2ubuntu2
git 1:2.34.1-1ubuntu1.17
git-man 1:2.34.1-1ubuntu1.17
gnupg 2.2.27-3ubuntu2.5
gnupg-l10n 2.2.27-3ubuntu2.5
gnupg-utils 2.2.27-3ubuntu2.5
gpg 2.2.27-3ubuntu2.5
gpg-agent 2.2.27-3ubuntu2.5
gpg-wks-client 2.2.27-3ubuntu2.5
gpg-wks-server 2.2.27-3ubuntu2.5
gpgconf 2.2.27-3ubuntu2.5
gpgsm 2.2.27-3ubuntu2.5
gpgv 2.2.27-3ubuntu2.5
grep 3.7-1build1
groff-base 1.22.4-8build1
grub-common 2.06-2ubuntu7.2
grub-efi-amd64 2.06-2ubuntu14.4
grub-efi-amd64-bin 2.06-2ubuntu14.4
grub-efi-amd64-signed 1.187.6+2.06-2ubuntu14.4
grub2-common 2.06-2ubuntu7.2
gsasl-common 1.10.0-5
guile-3.0-libs 3.0.7-1
gzip 1.10-4ubuntu4.1
haveged 1.9.14-1ubuntu1
hdparm 9.60+ds-1build3
hostname 3.23ubuntu2
htop 3.0.5-7build2
info 6.8-4build1
init 1.62
init-system-helpers 1.62
initramfs-tools 0.140ubuntu13.4
initramfs-tools-bin 0.140ubuntu13.4
initramfs-tools-core 0.140ubuntu13.4
install-info 6.8-4build1
intel-microcode 3.20260210.0ubuntu0.22.04.1
iplike-pgsql14 2.3.0-2
iproute2 5.15.0-1ubuntu2
iptables 1.8.7-1ubuntu5.2
iputils-ping 3:20211215-1ubuntu0.1
iputils-tracepath 3:20211215-1ubuntu0.1
irqbalance 1.8.0-1ubuntu0.2
isc-dhcp-client 4.4.1-2.3ubuntu2.4
isc-dhcp-common 4.4.1-2.3ubuntu2.4
iso-codes 4.9.0-1
iucode-tool 2.3.1-1build1
java-common 0.72build2
jicmp 3.0.4-1
jicmp6 3.0.4-1
kbd 2.3.0-3ubuntu4.22.04
keyboard-configuration 1.205ubuntu3
klibc-utils 2.0.10-4ubuntu0.2
kmod 29-1ubuntu1
kpartx 0.8.8-1ubuntu1.22.04.4
landscape-common 23.02-0ubuntu1~22.04.3
less 590-1ubuntu0.22.04.3
libacl1 2.3.1-1
libaio1 0.3.112-13build1
libapparmor1 3.0.4-2ubuntu2.4
libappstream4 0.15.2-2
libapt-pkg-perl 0.1.40build2
libapt-pkg6.0 2.4.13
libarchive13 3.6.0-1ubuntu1.5
libargon2-1 0~20171227-0.3
libasound2 1.2.6.1-1ubuntu1.1
libasound2-data 1.2.6.1-1ubuntu1.1
libassuan0 2.5.5-1build1
libatasmart4 0.19-5build2
libatm1 1:2.5.1-4build2
libattr1 1:2.5.1-1build1
libaudit-common 1:3.0.7-1build1
libaudit1 1:3.0.7-1build1
libauthen-sasl-perl 2.1600-1.1
libavahi-client3 0.8-5ubuntu5.4
libavahi-common-data 0.8-5ubuntu5.4
libavahi-common3 0.8-5ubuntu5.4
libbinutils 2.38-4ubuntu2.12
libblkid1 2.37.2-4ubuntu3.5
libblockdev-crypto2 2.26-1ubuntu0.1
libblockdev-fs2 2.26-1ubuntu0.1
libblockdev-loop2 2.26-1ubuntu0.1
libblockdev-part-err2 2.26-1ubuntu0.1
libblockdev-part2 2.26-1ubuntu0.1
libblockdev-swap2 2.26-1ubuntu0.1
libblockdev-utils2 2.26-1ubuntu0.1
libblockdev2 2.26-1ubuntu0.1
libbpf0 1:0.5.0-1ubuntu22.04.1
libbrotli1 1.0.9-2build6
libbsd0 0.11.5-1
libbz2-1.0 1.0.8-5build1
libc-bin 2.35-0ubuntu3.13
libc6 2.35-0ubuntu3.13
libcap-ng0 0.7.9-2.2build3
libcap2 1:2.44-1ubuntu0.22.04.2
libcap2-bin 1:2.44-1ubuntu0.22.04.2
libcbor0.8 0.8.0-2ubuntu1
libclone-perl 0.45-1build3
libcom-err2 1.46.5-2ubuntu1.2
libcommon-sense-perl 3.75-2build1
libcrypt1 1:4.4.27-1
libcryptsetup12 2:2.4.3-1ubuntu1.2
libctf-nobfd0 2.38-4ubuntu2.12
libctf0 2.38-4ubuntu2.12
libcups2 2.4.1op1-1ubuntu4.16
libcurl3-gnutls 7.81.0-1ubuntu1.23
libcurl4 7.81.0-1ubuntu1.23
libdata-dump-perl 1.25-1
libdb5.3 5.3.28+dfsg1-0.8ubuntu3
libdbd-pg-perl 3.15.1-1
libdbi-perl 1.643-3build3
libdbus-1-3 1.12.20-2ubuntu4.1
libdbus-glib-1-2 0.112-2build1
libdebconfclient0 0.261ubuntu1
libdevmapper-event1.02.1 2:1.02.175-2.1ubuntu4
libdevmapper1.02.1 2:1.02.175-2.1ubuntu4
libdns-export1110 1:9.11.19+dfsg-2.1ubuntu3
libdrm-common 2.4.113-2~ubuntu0.22.04.1
libdrm2 2.4.113-2~ubuntu0.22.04.1
libdw1 0.186-1ubuntu0.1
libeatmydata1 130-2build1
libedit2 3.1-20210910-1build1
libefiboot1 37-6ubuntu2
libefivar1 37-6ubuntu2
libelf1 0.186-1ubuntu0.1
libencode-locale-perl 1.05-1.1
liberror-perl 0.17029-1
libestr0 0.1.10-2.1build3
libevdev2 1.12.1+dfsg-1
libevent-core-2.1-7 2.1.12-stable-1build3
libexpat1 2.4.7-1ubuntu0.7
libext2fs2 1.46.5-2ubuntu1.2
libfastjson4 0.99.9-1build2
libfdisk1 2.37.2-4ubuntu3.5
libffi8 3.4.2-4
libfido2-1 1.10.0-1
libfile-listing-perl 6.14-1
libflashrom1 1.2-5build1
libfont-afm-perl 1.20-3
libfontconfig1 2.13.1-4.2ubuntu5
libfreetype6 2.11.1+dfsg-1ubuntu0.3
libfribidi0 1.0.8-2ubuntu3.1
libftdi1-2 1.5-5build3
libfuse3-3 3.10.5-1build1
libfwupd2 1.7.9-1~22.04.3
libfwupdplugin5 1.7.9-1~22.04.3
libgc1 1:8.0.6-1.1build1
libgcab-1.0-0 1.4-3build2
libgcc-s1 12.3.0-1ubuntu1~22.04.3
libgcrypt20 1.9.4-3ubuntu3
libgdbm-compat4 1.23-1
libgdbm6 1.23-1
libgirepository-1.0-1 1.72.0-1
libglib2.0-0 2.72.4-0ubuntu2.9
libglib2.0-bin 2.72.4-0ubuntu2.9
libglib2.0-data 2.72.4-0ubuntu2.9
libgmp10 2:6.2.1+dfsg-3ubuntu1
libgnutls30 3.7.3-4ubuntu1.8
libgpg-error0 1.43-3
libgpgme11 1.16.0-1.2ubuntu4.2
libgpm2 1.20.7-10build1
